               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.045287,            0.012096,                   0,           0.0064314,           0.0079787,          0.00071103,          9.6715e-05,            0.047274,           0.0063146,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.046198,           0.0097364,                   0,           0.0064314,           0.0079787,          0.00071103,          9.6715e-05,            0.047274,           0.0063182,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.047333,           0.0083165,                   0,           0.0026679,           0.0053191,          0.00038226,          5.0916e-05,            0.047365,           0.0059892,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,            0.047049,            0.008913,                   0,           0.0026679,           0.0053191,          0.00038226,          5.0916e-05,            0.047365,           0.0059841,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.045872,           0.0093379,                   0,           0.0036735,           0.0044326,          0.00039434,          4.6481e-05,            0.047004,           0.0068083,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.045207,             0.01328,                   0,           0.0036735,           0.0044326,          0.00039434,          4.6481e-05,            0.047004,            0.006813,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.045578,           0.0097664,                   0,           0.0061915,           0.0070922,            0.001013,          0.00015649,            0.046307,           0.0084113,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.045992,            0.013356,                   0,           0.0061915,           0.0070922,            0.001013,          0.00015649,            0.046307,            0.008405,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,            0.044579,            0.011864,                   0,            0.060678,            0.067376,            0.013706,           0.0023305,            0.043965,            0.011964,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.043355,            0.014438,                   0,            0.060678,            0.067376,            0.013706,           0.0023305,            0.043965,            0.011975,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,            0.042919,             0.01887,                   0,            0.074373,             0.02305,           0.0049662,          0.00077428,            0.044217,            0.010303,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.046296,            0.010072,                   0,            0.074373,             0.02305,           0.0049662,          0.00077428,            0.044217,            0.010282,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.043958,             0.01318,                   0,             0.11082,             0.11613,            0.031995,           0.0058535,            0.043909,             0.01191,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,            0.046375,            0.012487,                   0,             0.11082,             0.11613,            0.031995,           0.0058535,            0.043909,            0.011929,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,            0.046531,            0.010964,                   0,          0.00078968,           0.0026596,          0.00031218,          6.2307e-05,            0.046425,           0.0078088,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.048035,           0.0072964,                   0,          0.00078968,           0.0026596,          0.00031218,          6.2307e-05,            0.046425,           0.0078117,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,             0.04647,            0.009877,                   0,          0.00069052,          0.00088652,          0.00018884,          2.5135e-05,            0.046274,           0.0077004,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.047205,           0.0098819,                   0,          0.00069052,          0.00088652,          0.00018884,          2.5135e-05,            0.046274,           0.0077023,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,            0.045134,            0.011549,                   0,           0.0056864,           0.0035461,          0.00067396,          0.00011796,             0.04468,           0.0098414,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.043959,            0.017725,                   0,           0.0056864,           0.0035461,          0.00067396,          0.00011796,             0.04468,           0.0098475,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,             0.04369,            0.012461,                   0,             0.13605,              0.1055,            0.033652,           0.0061715,            0.043131,            0.013306,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,            0.043963,            0.015948,                   0,             0.13605,              0.1055,            0.033652,           0.0061715,            0.043131,             0.01334,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,            0.042468,            0.020715,                   0,           0.0070326,            0.022163,           0.0018176,           0.0003231,            0.044821,           0.0092912,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.043749,            0.010634,                   0,           0.0070326,            0.022163,           0.0018176,           0.0003231,            0.044821,           0.0092997,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.044975,            0.011047,                   0,            0.032011,            0.044326,           0.0065656,           0.0011719,            0.043244,            0.011322,                   0,            0.008812,            0.008812,            0.008812
                 122,            0.044264,            0.011734,                   0,            0.032011,            0.044326,           0.0065656,           0.0011719,            0.043244,            0.011316,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.045208,            0.013397,                   0,             0.12114,             0.13209,             0.03683,            0.007212,            0.042776,            0.012561,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.045273,            0.012031,                   0,             0.12114,             0.13209,             0.03683,            0.007212,            0.042776,            0.012568,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,            0.044125,            0.017061,                   0,            0.025557,            0.044326,           0.0059244,           0.0010597,            0.042826,            0.011165,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.046568,           0.0094954,                   0,            0.025557,            0.044326,           0.0059244,           0.0010597,            0.042826,            0.011159,                   0,           0.0087625,           0.0087625,           0.0087625
